"label","dsBase 6.3.6","dsBase 7.0","speedup"
"ds.abs",0.4715753,1.4299827,3.03235283951471
"ds.asCharacter",0.43265878,1.3882983,3.20876026137734
"ds.asDataMatrix",0.42663099,1.419796,3.32792514674098
"ds.asInteger",0.43129719,1.4091709,3.26728514043878
"ds.asList",0.92839099,1.7908661,1.92899987105648
"ds.asLogical",0.43231017,1.4780247,3.41889875040414
"ds.asMatrix",0.44495989,1.4832328,3.33340787188706
"ds.asNumeric",0.44246405,1.4548438,3.2880497296899
"ds.class (combine:0)",0.9034043,1.9327437,2.13940059838103
"ds.colnames",NA,NA,2.4
"ds.completeCases (combine:0)",0.42362053,1.4124029,3.33412287643377
"ds.dim (combine:0)",1.9241947,1.8471809,0.959976087658905
"ds.exp",0.46124364,1.4434284,3.12942721551673
"ds.isNA (combine:0)",0.67497479,1.9140435,2.83572590911136
"ds.length (combine:0)",1.8584753,1.8809009,1.01206666561563
"ds.levels (combine:0)",0.67929893,1.7929439,2.63940339196471
"ds.log",0.46905868,1.4189551,3.02511212456403
"ds.ls (combine:0)",1.8014097,1.8526701,1.02845571443298
"ds.names (combine:0)",0.94187116,1.8588406,1.97356143700164
"ds.numNA (combine:0)",0.68271493,1.8751466,2.74660259736813
"ds.sqrt",0.44889435,1.4142443,3.15050590411753
"ds.unique (combine:0)",0.77966394,1.4225521,1.82457085292415
